% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
4.5000000000000003E-7,94.99999999999999,0.45,0.45564610775223585
4.5000000000000003E-7,100,0.45,0.4272099919755573
4.5000000000000003E-7,104.99999999999999,0.45,0.3856738295026644
4.5000000000000003E-7,109.99999999999999,0.45,0.33611961931237533
4.5000000000000003E-7,115,0.45,0.27016655770811326
4.5000000000000003E-7,120,0.45,0.2196556530449303
4.52E-7,94.99999999999999,0.452,0.4217741927368056
4.52E-7,100,0.452,0.4072509591549514
4.52E-7,104.99999999999999,0.452,0.3795030719172563
4.52E-7,109.99999999999999,0.452,0.3432006220811486
4.52E-7,115,0.452,0.29709566901788553
4.52E-7,120,0.452,0.25154708211166643
4.54E-7,94.99999999999999,0.454,0.37841721149554813
4.54E-7,100,0.454,0.3766041454366959
4.54E-7,104.99999999999999,0.454,0.36101734801080315
4.54E-7,109.99999999999999,0.454,0.3367342799854486
4.54E-7,115,0.454,0.3026120766400895
4.54E-7,120,0.454,0.26787534081358516
4.5600000000000006E-7,94.99999999999999,0.45600000000000007,0.3278539094775698
4.5600000000000006E-7,100,0.45600000000000007,0.3378447736258537
4.5600000000000006E-7,104.99999999999999,0.45600000000000007,0.33313098699046045
4.5600000000000006E-7,109.99999999999999,0.45600000000000007,0.319422530942214
4.5600000000000006E-7,115,0.45600000000000007,0.29584548129750776
4.5600000000000006E-7,120,0.45600000000000007,0.27092850042657995
4.5800000000000005E-7,94.99999999999999,0.4580000000000001,0.272041870289933
4.5800000000000005E-7,100,0.4580000000000001,0.2930273446001108
4.5800000000000005E-7,104.99999999999999,0.4580000000000001,0.298208460680376
4.5800000000000005E-7,109.99999999999999,0.4580000000000001,0.2938853431472333
4.5800000000000005E-7,115,0.4580000000000001,0.279520725382772
4.5800000000000005E-7,120,0.4580000000000001,0.26317412930014145
4.6000000000000004E-7,94.99999999999999,0.46,0.2129583777339234
4.6000000000000004E-7,100,0.46,0.2438783705120378
4.6000000000000004E-7,104.99999999999999,0.46,0.2581106109535785
4.6000000000000004E-7,109.99999999999999,0.46,0.26222451478927633
4.6000000000000004E-7,115,0.46,0.2559853378708538
4.6000000000000004E-7,120,0.46,0.24707108859131344
4.6200000000000003E-7,94.99999999999999,0.462,0.15305565808963778
4.6200000000000003E-7,100,0.462,0.19209391674452297
4.6200000000000003E-7,104.99999999999999,0.462,0.21439987830044516
4.6200000000000003E-7,109.99999999999999,0.462,0.22610892785364609
4.6200000000000003E-7,115,0.462,0.2271223146071194
4.6200000000000003E-7,120,0.462,0.22470637899292042
4.64E-7,94.99999999999999,0.464,0.09581924112563
4.64E-7,100,0.464,0.1397097439935827
